Didok number;Stop name;Date ;Public holiday;Weekday;Nationaler Feiertag;Service Typ;Service;Closed;From 1;until1;From 1;until3;From 1;until3;Company;Schlüssel;OPUIC
2222;Bonstetten-Wettswil;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;2222-2024-03-29T00:00:00-9999;8502222
2224;Affoltern am Albis;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;2224-2024-04-01T00:00:00-9999;8502224
2978;Zug ZVB;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;ZVB;2978-2024-08-15T00:00:00-9999;8502978
2978;Zug ZVB;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;ZVB;2978-2024-05-20T00:00:00-9999;8502978
2978;Zug ZVB;2024-05-10;Auffahrtsbrücke;Friday;ja;9999;Alle Services;ja;;;;;;;ZVB;2978-2024-05-10T00:00:00-9999;8502978
2978;Zug ZVB;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;ZVB;2978-2024-05-09T00:00:00-9999;8502978
2978;Zug ZVB;2024-05-08;Mittwoch vor Auffahrt;Wednesday;ja;9999;Alle Services;;09:00;17:00;;;;;ZVB;2978-2024-05-08T00:00:00-9999;8502978
2978;Zug ZVB;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;ZVB;2978-2024-03-29T00:00:00-9999;8502978
3000;Zürich HB;2024-08-01;Bundesfeiertag;Thursday;ja;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;3000-2024-08-01T00:00:00-100;8503000
3000;Zürich HB;2024-05-20;Pfingstmontag;Monday;ja;500;Gepäck;;08:30;19:00;;;;;SBB;3000-2024-05-20T00:00:00-500;8503000
3000;Zürich HB;2024-05-20;Pfingstmontag;Monday;ja;900;Fundservice;;08:30;19:00;;;;;SBB;3000-2024-05-20T00:00:00-900;8503000
